2	1400
4	2000
8	3400
16	8300
32	27800
64	120500
128	429200
256 1719200
512	6631900
1024	1524800
2048	148507900
4096	479884600
8192	86639300
16384	398925500
32768	1621703100
65536	6658737100
131072	27168314400
262144	108989571400
